volume	open	high	close	low	ma5	ma10	ma20	ma30	time	chg	percent	turnrate	dif	dea	macd
1841223622	7543.2513	7609.2351	7550.4108	7536.0326	7613.41334	7675.20437	7636.98021	7622.031113	Fri Dec 29 00:00:00 +0800 2030	0.082975764	0.0011	0	0	0	0
2393148715	7543.5961	7601.7846	7560.6678	7524.9498	7574.40964	7659.69082	7632.4865	7626.20031	Fri Dec 29 00:00:00 +0800 2031	10.2442035	0.1358	0	0	0	0
2261740878	7564.3725	7688.7632	7685.1879	7539.4776	7591.45622	7656.30147	7635.98578	7630.88703	Fri Dec 29 00:00:00 +0800 2032	124.5776507	1.6469	0	0	0	0
1998195698	7693.0466	7745.6953	7723.267	7685.797	7613.97288	7653.676	7645.270495	7631.840333	Fri Dec 29 00:00:00 +0800 2033	38.1190459	0.4955	0	0	0	0
2561338804	7729.2278	7745.3058	7738.5495	7641.2828	7651.6166	7655.58846	7654.68074	7634.664457	Fri Dec 29 00:00:00 +0800 2034	15.29614182	0.1979	0	0	0	0
2454190813	7729.5331	7760.9237	7713.5977	7709.9628	7684.25398	7648.83366	7667.487825	7634.73729	Fri Dec 29 00:00:00 +0800 2035	-24.92001471	-0.3224	0	0	0	0
1841977458	7694.8347	7713.0039	7675.4014	7671.0907	7707.2007	7640.80517	7676.53216	7634.922013	Fri Dec 29 00:00:00 +0800 2036	-38.10482143	-0.4952	0	0	0	0
2140124243	7681.7381	7690.1945	7534.5599	7517.4729	7677.0751	7634.26566	7675.51735	7633.175873	Fri Dec 29 00:00:00 +0800 2037	-140.9598941	-1.835	0	0	0	0
1688442070	7518.9953	7568.4883	7522.6914	7499.3374	7636.95998	7625.46643	7670.020525	7633.832167	Fri Dec 29 00:00:00 +0800 2038	-11.8424176	-0.1575	0	0	0	0
2257868810	7473.0492	7497.6277	7420.657	7395.3427	7573.38148	7612.49904	7654.66983	7628.463373	Fri Dec 29 00:00:00 +0800 2039	-101.3644393	-1.3564	0	0	0	0
2301459418	7409.3774	7438.1057	7225.8773	7206.1546	7475.8374	7580.04569	7627.62503	7618.002037	Fri Dec 29 00:00:00 +0800 2040	-194.481338	-2.6248	0	0	0	0
2013300069	7195.9528	7313.1126	7291.8225	7098.1549	7399.12162	7553.16116	7606.42599	7606.04472	Fri Dec 29 00:00:00 +0800 2041	65.67026525	0.9126	0	0	0	0
1564584195	7186.5403	7254.2779	7222.956	7175.6621	7336.80084	7506.93797	7581.61972	7592.969843	Fri Dec 29 00:00:00 +0800 2042	-67.86968659	-0.9444	0	0	0	0
2137259782	7056.1148	7129.8796	6912.9756	6908.0463	7214.85768	7425.90883	7539.792415	7572.14994	Fri Dec 29 00:00:00 +0800 2043	-302.8202228	-4.2916	0	0	0	0
1992832958	7038.262	7066.7275	6858.3109	6787.1753	7102.38846	7337.88497	7496.736715	7549.08215	Fri Dec 29 00:00:00 +0800 2044	-55.6585759	-0.7908	0	0	0	0
1572267258	6853.3261	7015.6103	7011.2237	6848.0222	7059.45774	7267.64757	7458.240615	7534.20774	Fri Dec 29 00:00:00 +0800 2045	152.8017587	2.2296	0	0	0	0
2090177373	6819.7397	6903.8822	6795.8079	6705.4706	6960.25482	7179.68822	7410.246695	7510.917513	Fri Dec 29 00:00:00 +0800 2046	-209.5296825	-3.0724	0	0	0	0
1803278458	6842.2786	7050.5858	7029.7744	6842.2786	6921.6185	7129.20967	7381.737665	7493.41479	Fri Dec 29 00:00:00 +0800 2047	235.5659676	3.4428	0	0	0	0
1673681371	7078.8827	7134.5085	7054.7299	7043.1102	6949.96936	7082.41352	7353.939975	7474.151523	Fri Dec 29 00:00:00 +0800 2048	25.13003359	0.355	0	0	0	0
1076649207	7074.0953	7096.3699	7087.0318	7022.2487	6995.71354	7049.051	7330.77502	7452.796887	Fri Dec 29 00:00:00 +0800 2049	32.39228238	0.4579	0	0	0	0
1692843242	7172.6789	7280.1442	7270.9506	7162.6692	7047.65892	7053.55833	7316.80201	7436.269463	Fri Dec 29 00:00:00 +0800 2050	186.1381901	2.5951	0	0	0	0
1713542831	7271.6237	7297.8074	7285.1745	7216.6956	7145.53224	7052.89353	7303.027345	7421.91517	Fri Dec 29 00:00:00 +0800 2051	14.22329596	0.1956	0	0	0	0
2593558869	7329.1246	7519.3664	7488.4254	7329.1246	7237.26244	7079.44047	7293.18922	7414.226637	Fri Dec 29 00:00:00 +0800 2052	204.4752472	2.7899	0	0	0	0
2326004895	7482.936	7528.7518	7443.5541	7423.8664	7315.02728	7132.49832	7279.203575	7404.027717	Fri Dec 29 00:00:00 +0800 2053	-44.83775251	-0.5992	0	0	0	0
2581684254	7362.682	7506.9089	7477.2628	7339.3898	7393.07348	7194.39351	7266.13924	7395.955647	Fri Dec 29 00:00:00 +0800 2054	33.34558678	0.4529	0	0	0	0
2446127954	7422.1273	7581.8871	7581.8871	7400.4978	7455.26078	7251.45985	7259.55371	7389.313693	Fri Dec 29 00:00:00 +0800 2055	103.8504052	1.3992	0	0	0	0
2152078679	7513.5317	7558.1622	7456.2465	7456.2465	7489.47518	7317.50371	7248.595965	7379.332367	Fri Dec 29 00:00:00 +0800 2056	-124.5067338	-1.6571	0	0	0	0
1855111000	7474.5872	7502.8718	7481.8574	7427.1709	7488.16158	7362.71201	7245.96084	7375.39578	Fri Dec 29 00:00:00 +0800 2057	25.67520703	0.3435	0	0	0	0
2402076427	7503.318	7555.1213	7555.1213	7488.3755	7510.47502	7412.75115	7247.582335	7373.5437	Fri Dec 29 00:00:00 +0800 2058	73.47248986	0.9792	0	0	0	0
1719603269	7543.0567	7559.3379	7468.9788	7465.8146	7508.81822	7450.94585	7249.998425	7370.831963	Fri Dec 29 00:00:00 +0800 2059	-86.00593249	-1.1402	0	0	0	0
1790087779	7472.2147	7521.2234	7521.2234	7451.3438	7496.68548	7475.97313	7264.76573	7369.85905	Fri Dec 29 00:00:00 +0800 2060	52.26814183	0.6995	0	0	0	0
2534524616	7543.6951	7672.6989	7665.1674	7530.6177	7538.46966	7513.97242	7283.432975	7373.34237	Fri Dec 29 00:00:00 +0800 2061	144.3712368	1.9138	0	0	0	0
3021445133	7720.0854	7781.6991	7781.5751	7714.2619	7598.4132	7543.28739	7311.36393	7376.555277	Fri Dec 29 00:00:00 +0800 2062	117.244937	1.5187	0	0	0	0
2397967653	7769.2826	7770.1655	7699.0453	7693.9909	7627.198	7568.83651	7350.667415	7375.747887	Fri Dec 29 00:00:00 +0800 2063	-82.40101126	-1.0606	0	0	0	0
2222089537	7671.8178	7712.158	7631.7231	7629.2974	7659.74686	7584.28254	7389.338025	7372.187007	Fri Dec 29 00:00:00 +0800 2064	-67.08237484	-0.8744	0	0	0	0
2195536513	7611.2359	7676.059	7651.0201	7578.7539	7685.7062	7591.19584	7421.327845	7370.101087	Fri Dec 29 00:00:00 +0800 2065	19.24881559	0.2529	0	0	0	0
1862990447	7662.2092	7677.5637	7563.4965	7563.4965	7665.37202	7601.92084	7459.712275	7366.370923	Fri Dec 29 00:00:00 +0800 2066	-87.64801104	-1.1439	0	0	0	0
1719477137	7558.2124	7627.4649	7581.2796	7533.7082	7625.31292	7611.86306	7487.287535	7367.928247	Fri Dec 29 00:00:00 +0800 2067	17.76935735	0.2351	0	0	0	0
1746869822	7516.5462	7584.5988	7579.7153	7496.4884	7601.44692	7614.32246	7513.536805	7369.829043	Fri Dec 29 00:00:00 +0800 2068	-1.548408517	-0.0206	0	0	0	0
1932176398	7600.6352	7660.8795	7529.6154	7521.1129	7581.02538	7620.38612	7535.665985	7373.46099	Fri Dec 29 00:00:00 +0800 2069	-50.24019867	-0.661	0	0	0	0
1838358450	7537.6221	7577.0761	7465.554	7457.4898	7543.93216	7614.81918	7545.396155	7381.450213	Fri Dec 29 00:00:00 +0800 2070	-64.13008883	-0.8508	0	0	0	0
3176151751	7203.9938	7310.9838	7160.3713	7045.855	7463.30712	7564.33957	7539.155995	7377.068507	Fri Dec 29 00:00:00 +0800 2071	-294.4920626	-4.0879	0	0	0	0
2293585694	7073.9661	7282.9183	7282.9183	7022.538	7403.63486	7514.47389	7528.88064	7379.06725	Fri Dec 29 00:00:00 +0800 2072	121.0709298	1.7115	0	0	0	0
2569380056	7364.0177	7465.6393	7457.669	7364.0177	7379.2256	7490.33626	7529.586385	7397.223697	Fri Dec 29 00:00:00 +0800 2073	176.6996047	2.3995	0	0	0	0
2045900409	7341.4883	7447.0685	7338.635	7323.9277	7341.02952	7461.02745	7522.654995	7413.2345	Fri Dec 29 00:00:00 +0800 2074	-117.1774948	-1.5961	0	0	0	0
1947045374	7374.7241	7394.2836	7361.4633	7243.8168	7320.21138	7432.07177	7511.633805	7424.909153	Fri Dec 29 00:00:00 +0800 2075	22.94276668	0.3111	0	0	0	0
2068909404	7388.6038	7463.9319	7443.5866	7384.6152	7376.85444	7420.08078	7511.00081	7446.501777	Fri Dec 29 00:00:00 +0800 2076	82.42726399	1.1156	0	0	0	0
2668948302	7469.5085	7482.9725	7396.4055	7390.9996	7399.55188	7401.59337	7506.728215	7458.722813	Fri Dec 29 00:00:00 +0800 2077	-47.34174487	-0.6338	0	0	0	0
2191370370	7311.1117	7357.5649	7345.3203	7272.976	7377.08214	7378.15387	7496.238165	7468.40916	Fri Dec 29 00:00:00 +0800 2078	-50.49784851	-0.6907	0	0	0	0
1908433341	7372.2967	7393.6538	7280.3516	7273.4374	7365.42546	7353.22749	7486.806805	7474.853153	Fri Dec 29 00:00:00 +0800 2079	-65.20796431	-0.8845	0	0	0	0
1783028692	7265.2896	7319.0495	7250.8202	7205.5209	7343.29684	7331.75411	7473.286645	7474.18214	Fri Dec 29 00:00:00 +0800 2080	-29.46801462	-0.4056	0	0	0	0
1877181508	7276.4217	7345.9063	7345.9063	7234.9018	7323.76078	7350.30761	7457.32359	7476.206533	Fri Dec 29 00:00:00 +0800 2081	95.42299417	1.3114	0	0	0	0
1815902046	7373.7328	7415.5551	7376.128	7364.4991	7319.70528	7359.62858	7437.051235	7472.463287	Fri Dec 29 00:00:00 +0800 2082	30.33553674	0.4114	0	0	0	0
1543255293	7377.1656	7390.5808	7320.6893	7309.6576	7314.77908	7345.93061	7418.133435	7468.367793	Fri Dec 29 00:00:00 +0800 2083	-55.44677665	-0.7516	0	0	0	0
1475484235	7363.9386	7388.2685	7292.3173	7272.0208	7317.17222	7341.29884	7401.163145	7462.202943	Fri Dec 29 00:00:00 +0800 2084	-28.54262601	-0.3876	0	0	0	0
2016303983	7274.3653	7309.6378	7260.8519	7214.132	7319.17856	7331.2377	7381.654735	7451.50177	Fri Dec 29 00:00:00 +0800 2085	-31.38888627	-0.4315	0	0	0	0
2151148918	7262.8601	7287.8059	7041.3113	7034.5049	7258.25956	7291.01017	7355.545475	7437.670597	Fri Dec 29 00:00:00 +0800 2086	-219.599838	-3.0236	0	0	0	0
2518053433	7099.1078	7129.2066	7124.2267	6937.4411	7207.8793	7263.79229	7332.69283	7425.749573	Fri Dec 29 00:00:00 +0800 2087	83.59909345	1.1776	0	0	0	0
2251896543	7135.0005	7231.6601	7183.2155	7125.1617	7180.38454	7247.58181	7312.86784	7413.352713	Fri Dec 29 00:00:00 +0800 2088	59.07780414	0.828	0	0	0	0
2069493245	7163.1257	7196.261	7065.41	7051.6233	7135.00308	7226.08765	7289.65757	7399.90042	Fri Dec 29 00:00:00 +0800 2089	-117.4752615	-1.64	0	0	0	0
1996133977	7073.3204	7087.6808	6977.4418	6913.9983	7078.32106	7198.74981	7265.25196	7381.774367	Fri Dec 29 00:00:00 +0800 2090	-88.0699123	-1.2451	0	0	0	0
2047017657	6958.9557	7116.1811	7114.4763	6956.4544	7092.95406	7175.60681	7262.95721	7363.417997	Fri Dec 29 00:00:00 +0800 2091	136.6738899	1.964	0	0	0	0
2168177121	7084.4575	7137.657	7114.1616	7071.6782	7090.94104	7149.41017	7254.519375	7341.17088	Fri Dec 29 00:00:00 +0800 2092	-0.31171613	-0.0044	0	0	0	0
2107557757	7114.8914	7114.8914	6940.684	6940.684	7042.43474	7111.40964	7228.670125	7315.89217	Fri Dec 29 00:00:00 +0800 2093	-173.4966268	-2.4385	0	0	0	0
1903413094	6992.074	7038.7091	6998.7679	6936.0901	7029.10632	7082.0547	7211.67677	7294.793663	Fri Dec 29 00:00:00 +0800 2094	58.51666731	0.8369	0	0	0	0
1766862015	7038.7479	7078.0276	7038.238	6999.5159	7041.26556	7059.79331	7195.515505	7274.367593	Fri Dec 29 00:00:00 +0800 2095	39.69853816	0.564	0	0	0	0
1887899653	7031.865	7105.0802	7104.1258	6962.6298	7039.19546	7066.07476	7178.542465	7259.055237	Fri Dec 29 00:00:00 +0800 2096	65.82528827	0.9361	0	0	0	0
